Time,Voltage
0,121
0.01,23
0.02,136
0.03,15
0.04,155
0.05,66
0.06,215
0.07,98
0.08,131
0.09,148
0.1,182
0.11,196
0.12,80
0.13,149
0.14,68
0.15,1
0.16,42
0.17,69
0.18,202
0.19,187
0.2,21
0.21,123
0.22,138
0.23,38
0.24,95
0.25,67
0.26,5
0.27,69
0.28,206
0.29,116
0.3,187
0.31,211
0.32,80
0.33,124
0.34,101
0.35,4
0.36,101
0.37,84
0.38,102
0.39,27
0.4,41
0.41,24
0.42,141
0.43,144
0.44,144
0.45,49
0.46,23
0.47,6
0.48,178
0.49,50
0.5,150
0.51,189
0.52,24
0.53,187
0.54,21
0.55,50
0.56,87
0.57,159
0.58,127
0.59,203
0.6,173
0.61,107
0.62,39
0.63,198
0.64,176
0.65,101
0.66,154
0.67,102
0.68,69
0.69,20
0.7,73
0.71,180
0.72,178
0.73,51
0.74,218
0.75,6
0.76,79
0.77,200
0.78,184
0.79,114
0.8,197
0.81,21
0.82,114
0.83,86
0.84,188
0.85,15
0.86,179
0.87,162
0.88,37
0.89,205
0.9,193
0.91,36
0.92,135
0.93,8
0.94,193
0.95,49
0.96,10
0.97,0
0.98,35
0.99,164
1,40
1.01,22
1.02,118
1.03,214
1.04,36
1.05,131
1.06,159
1.07,136
1.08,212
1.09,43
1.1,125
1.11,32
1.12,55
1.13,155
1.14,122
1.15,124
1.16,7
1.17,88
1.18,182
1.19,11
1.2,90
1.21,12
1.22,124
1.23,24
1.24,126
1.25,188
1.26,13
1.27,20
1.28,160
1.29,189
1.3,176
1.31,205
1.32,101
1.33,107
1.34,158
1.35,92
1.36,220
1.37,62
1.38,202
1.39,72
1.4,51
1.41,28
1.42,77
1.43,139
1.44,108
1.45,131
1.46,9
1.47,53
1.48,172
1.49,82
1.5,63
1.51,59
1.52,113
1.53,7
1.54,139
1.55,93
1.56,120
1.57,51
1.58,192
1.59,30
1.6,26
1.61,163
1.62,55
1.63,41
1.64,1
1.65,134
1.66,172
1.67,124
1.68,212
1.69,169
1.7,78
1.71,202
1.72,217
1.73,203
1.74,132
1.75,146
1.76,84
1.77,138
1.78,165
1.79,68
1.8,71
1.81,47
1.82,53
1.83,96
1.84,50
1.85,115
1.86,93
1.87,78
1.88,165
1.89,129
1.9,84
1.91,51
1.92,54
1.93,59
1.94,111
1.95,185
1.96,73
1.97,215
1.98,84
1.99,194
2,125
2.01,215
2.02,173
2.03,13
2.04,141
2.05,144
2.06,63
2.07,186
2.08,136
2.09,183
2.1,134
2.11,187
2.12,73
2.13,150
2.14,116
2.15,92
2.16,165
2.17,205
2.18,188
2.19,180
2.2,193
2.21,113
2.22,219
2.23,168
2.24,87
2.25,30
2.26,73
2.27,112
2.28,216
2.29,26
2.3,70
2.31,8
2.32,119
2.33,153
2.34,211
2.35,108
2.36,211
2.37,132
2.38,63
2.39,32
2.4,24
2.41,1
2.42,137
2.43,70
2.44,87
2.45,220
2.46,12
2.47,186
2.48,23
2.49,16
2.5,132
2.51,126
2.52,59
2.53,162
2.54,88
2.55,155
2.56,38
2.57,55
2.58,117
2.59,24
2.6,182
2.61,201
2.62,50
2.63,150
2.64,62
2.65,183
2.66,151
2.67,87
2.68,200
2.69,144
2.7,110
2.71,64
2.72,182
2.73,65
2.74,67
2.75,175
2.76,115
2.77,131
2.78,162
2.79,176
2.8,92
2.81,27
2.82,192
2.83,110
2.84,1
2.85,142
2.86,21
2.87,63
2.88,190
2.89,82
2.9,216
2.91,138
2.92,74
2.93,155
2.94,70
2.95,178
2.96,171
2.97,92
2.98,218
2.99,39
3,183
3.01,176
3.02,208
3.03,81
3.04,41
3.05,15
3.06,177
3.07,54
3.08,205
3.09,23
3.1,23
3.11,184
3.12,154
3.13,98
3.14,20
3.15,140
3.16,5
3.17,137
3.18,91
3.19,169
3.2,154
3.21,19
3.22,10
3.23,32
3.24,194
3.25,121
3.26,14
3.27,51
3.28,43
3.29,110
3.3,54
3.31,13
3.32,160
3.33,137
3.34,58
3.35,13
3.36,153
3.37,165
3.38,150
3.39,67
3.4,10
3.41,95
3.42,40
3.43,107
3.44,85
3.45,1
3.46,100
3.47,172
3.48,161
3.49,211
3.5,184
3.51,75
3.52,87
3.53,96
3.54,145
3.55,195
3.56,91
3.57,158
3.58,36
3.59,21
3.6,2
3.61,65
3.62,212
3.63,136
3.64,98
3.65,66
3.66,8
3.67,50
3.68,74
3.69,6
3.7,168
3.71,88
3.72,34
3.73,48
3.74,93
3.75,46
3.76,101
3.77,212
3.78,106
3.79,108
3.8,84
3.81,149
3.82,47
3.83,59
3.84,141
3.85,88
3.86,218
3.87,105
3.88,190
3.89,192
3.9,20
3.91,60
3.92,113
3.93,193
3.94,189
3.95,8
3.96,10
3.97,75
3.98,13
3.99,146
4,70
4.01,23
4.02,106
4.03,97
4.04,139
4.05,28
4.06,45
4.07,99
4.08,218
4.09,101
4.1,182
4.11,165
4.12,100
4.13,121
4.14,91
4.15,187
4.16,5
4.17,88
4.18,121
4.19,109
4.2,29
4.21,122
4.22,112
4.23,58
4.24,174
4.25,64
4.26,211
4.27,92
4.28,126
4.29,27
4.3,137
4.31,74
4.32,45
4.33,54
4.34,6
4.35,97
4.36,153
4.37,208
4.38,104
4.39,138
4.4,166
4.41,67
4.42,6
4.43,191
4.44,98
4.45,212
4.46,198
4.47,187
4.48,156
4.49,17
4.5,201
4.51,73
4.52,27
4.53,37
4.54,33
4.55,74
4.56,211
4.57,195
4.58,140
4.59,73
4.6,38
4.61,175
4.62,143
4.63,139
4.64,93
4.65,110
4.66,49
4.67,122
4.68,60
4.69,218
4.7,113
4.71,30
4.72,148
4.73,9
4.74,211
4.75,55
4.76,72
4.77,114
4.78,201
4.79,168
4.8,130
4.81,185
4.82,213
4.83,40
4.84,200
4.85,86
4.86,168
4.87,197
4.88,168
4.89,164
4.9,99
